Label,Text
Positive,ini temen temen gue ngapa pada ngira gue nyuap dokternya biar ga disuntik gara gara ga ada efek sama sekali abis dapet moderna. ngadi ngadi bae lah.
Positive,akhirnya efek dari dosis penuh booster moderna mulai menghilang.. setelah 32 jam pasca vaksin
Positive,"tentang booster, tadi aku disuntik moderna. alhamdulillah ga ada efek yang berat. 4 jam setelah disuntik sakit kepala yg cukup mengguncangkan bumi terus disundul pake panadol merah idolaqu kemudian anteenngg"
Positive,"booster moderna, gak ada efek selain pegal biasa sehari aja. aku v1 dan v2 juga begitu efeknya."
Positive,"seminggu kemarin abis vaksin moderna, dan efek sampingnya hampir gak ada kecuali laper"
Positive,"Beda sama AZ. Penerima AZ itu sudah merasakan getir dan beratnya efek samping AZ yang bagi beberapa orang sensasinya 11-12 kayak kena CVD . Dengan diberikan Moderna, tubuh sudah beradaptasi"
Positive,"apapun jenis vaksinnya, mo sinovac yg katanya paling aman, pfuzer, moderna, atau astreajenaka semua berpotensi meninggalkan efek samping. karena semua vaksin covid blm dinyatakan lulus uji klinis dan blm layak pake secara aman. semua mengacu pada ijin kedaruratan dri uea."
Positive,Angka Kematian Orang Disuntik Vaksin Moderna Paling Rendah 
Positive,alhamdulillah sabtu setelah d vaksin moderna. efek cmn nyeri d tangan bekas vaksin
Positive,"aku udah dulu moderna, efek samp nya demam tinggi sih. tp diminumin prctmol udah baik an"
Positive,"aku dosis 1 2 sinovac dosis 3 moderna. efek ke orang beda2 kok, makan dulu sebelum vaksin ya.  aku gapapa sih setelah vaksin ibu ku jg gapapa ( 1 2 az, 3 moderna) gapapa kok ayo vaksin"
Positive,"aku baru hari ini vaksin booster. dapetnya moderna. per mahgrib ini, blom ada efek samping. masih linu2 aja di lengan bekas suntik. jangan sampe yg demam gitu. ini aja ud susah angkat lengan"
Positive,"abis vaksin moderna, smoga ga knpa-napa "
Positive,abis vaksin moderna seharusnya tangan pegel demam mual tapi ini besoknya buat basket karena ga kerasa apa2 padahal papa pegel n demam.
Positive,"40 jam setelah vaksin moderna: udah enakan, masih pegel di area suntik"
Positive,3 jam setelah vaksin moderna: tidak ada efek apa- apa :)
Positive,di aku kok gak ada efek apa-apa ya
Positive,"aman sampe rumah, aku jalan kaki, nggak pusing, nggak mual, aku pakai moderna ya"
Positive,13 jam stlh vaksin moderna tuh ngantuk bgtbgtbgt
Positive,"Demi apa vaksin ke3 make me asdfghjklhzhzhzzhzh Sumpaaa efeknya mleyot, pastikan kalo mo vaksin moderna jadwal bberapa hari kedepan kosong. Jd ga terganggu"
Positive,efek booster pakai moderna emg ada batuk pilek juga kah?
Positive,"dulu juga udah sempat bilang kalo efek pasca vaksin itu tiap orang beda -beda. aku bilang, ""aku bisa drop ya karena efek moderna emang cukup kuat. itu ayah sama adek udah 2x vaksin tapi ga kenapa -napa."""
Positive,"dosis 2 moderna selesai,  setelah satu jam belum ngerasain efek apa apa."
Positive,efek vaksin jangan takut soalnya rata -rata yg pake moderna emang dibagian yg di suntik itu pegel terus badan agak kurang fit tapi itu gak lama kok ya paling sehari 2 hari lah aku aja vaksin 1 & 2 pakenya moderna
Positive,efek umum ternyata aku kira cuma moderna yg kaya gini
Positive,"gue moderna, semoga cepet hilang ya efek sampingnya. lekas membaik sedap"
Positive,gini amat ya efek vaksin moderna. pantes yg disuntik lengan kiri. Sehat ayo sehat.
Positive,kenapa dah? moderna normal2 ajaa. gw sekeluarga booster pake moderna sama sekali ga ada efek
Positive,kek ga bs bobo di sisi yg divaksin sama kemeng :( sebenernya b aja sih kek side effects vaksin biasa cm yg 2x kmrn bener2 ga ada efek jd kayanya baru nendang skrg. aku ambil pfizer jg bukan moderna
Positive,kalo buat efek dari moderna. yang penting sebelum vaksin tidur yang cukup minum air putih sama sarapan sebelum disuntik
Positive,"KABAR BAIK!!! Booster vaksin Moderna terbukti mampu meningkatkan antibodi orang yang sudah mendapatkan vaksin Sinovac. Peningkatan sekitar 9,3 kali lebih tinggi. Yang lebih oke lagi, bukti ini berasal dari penelitian di Indonesia!"
Positive,menggigil efek moderna
Positive,ngadepin efek samping moderna juga kuat kok ini buktinya masih kuat
Positive,Suntik vaksin moderna satu botol pasti. Langsung sembuh sakitnya
Positive,"sudah 10 jam vaksin booster moderna, belom terasa efek apapun. mulai agak kerasa nyeri di lengan sih. tapi masih aman2 aja"
Positive,Siapin panadol 1 ember untuk tangkis efek samping Moderna
Positive,"setelah sekitar 24 jam, siap2 efek titik yg disuntik njarem, cenut2, demam bbrp hari, kepala pusing, lemes. moderna rata2 berdampak spt itu. alhamdulillah kemarin saya baru terbebas dr efek itu setelah disuntik moderna pd jumat sore. semoga sehat"
Positive,Ternyata leluasa gerakin tangan & bisa tidur nyamping kanan kiri itu adalah kenikmatan kecil yang baru disadari 
Positive,"udah pake moderna, efek samping ga seserem kata orang -orang. cuma pegel sore malam, paginya udah enakan, belom ilang pegelnya 100% tapi udah bisa nyetir jauh walaupun masih pegel. abis vaksin aku langsung makan minum paracetamol"
Positive,"vaksin pertama moderna ga ada efek ap-apa, pas vaksin kedua kemarin baru berasa efeknya hari ini"
Positive,"Yang aku tangkap dari penjelasan BPOM dan ITAGI kemarin, dicari yang sekiranya aman efek sampingnya. Karena ternyata Moderna dan Pfizer punya efek samping yang 'kuat'. Tidak sedikit tenaga kesehatan yang 'megap-megap' setelah booster. Jadi, dicari amannya."
Positive,"tergantung dia sakit bawaan atau ngga, temen sy juga dah booster 1/2 moderna, 1/2 pfizer, efeknya memang lbh kuat dr vaksin sebelumnya. dia jd lemes tp alhamdulillah baik2 aja. papa sy jg ga jadi booster minggu kemarin karna gula darah"
Positive,"Moderna sudah disuntik, kita tunggu update efek samping 1x24"
Positive,"Moderna, ga ada efek samping kemaren"
Positive,yang udh vaksin booster moderna pada kena efek samping apa? aku sejauh ini cuma ngilu aja lenganku :(
Positive,"Vaksin 1 dan 2 pakai moderna, ini juga moderna. Kalau efek lain nggak ada, cuman tangannya ini nyeri"
Positive,"abis vaksin moderna aku gak merasakan efek samping apa2, jangan2 yg disuntikkan ke tubuhku sebenarnya adalah cairan infus"
Positive,moderna aku ga ada efek apa-apa
Positive,"abis booster moderna ga berasa efek apa-apa, kurang menantang"
Positive,Efek booster moderna kenapa bikin laperan gini
Positive,"abis booster moderna, terpantau belum ada efek apa-apa cuman jadi super rakus aja"
Positive,"aku udah booster pake moderna, ternyata efek nya ga separah yang dibilang orang2. alhamdulillah setelah 7 jam booster, cuman pegel tangan doang"
Positive,"oarang-oarang booster pada kena efek samping yg lumayan, aku gak apa-apa selain nyeri dikit di area suntikan. Booster aku moderna"
Positive,"efek vaksin moderna gini gak? badan gue pada linu semua, DAN NGANTUK BGT. tp gak separah pfizer yang sampe demam dan lemes bgt"
Positive,"harusnya tadi aku gak pergi kemana mana, efek booster moderna tanganku bengkak kayak di gigit nyamuk"
Positive,"aku moderna kemaren gak ada efek sama sekali, kubawa begadang pula"
Positive,mari kita tunggu efek booster moderna
Positive,"vaksin ke 3 pake moderna, masih aman dan tanpa ada efek samping"
Positive,"Aku booster moderna gak ada efek, ada tapi cuma pegel di area suntikkan aja. Ga separah vaksin 1 astra"
Positive,"alhamdulillah 7 jam setelah suntik booster moderna, tidak merasakan efek samping apa2, cuma pegel aja"
Positive,Efek moderna sejauh ini cuma kelaparan
Positive,vaksin 1 dan 2 moderna gak ada efek apa2 cuman nyeri dibekas suntikkan aja
Positive,"gua moderna kemaren, tapi ga ada efek apa apa pegel doang"
Positive,moderna emang ga ada efek sampingnya apa vaksinnya merembes gara-gara gua bawa motor tadi pulangnya
Positive,"vaksin 1 dan 2 pfizer, booster moderna efek nya pegel pegel biasa aja di tangan"
Positive,"aku moderna, sejauh ini belum muncul efek sampingnya.. waktu vaksin 1 2 kemarin gak ada efek samping sama sekali semoga sekarang nggak ada juga"
Positive,"Hamdallah efek booster Moderna cuman lengan nyeri aja.
Ga ada demam ga ada lemes ga ada badan nyeri…"
Positive,"kemarin vaksin booster moderna, gak ada efek sama sekali"
Positive,"Balik ke orang masing-masing, aku moderna ga efek apa-apa, paling lengan doang yg nyeri"
Positive,kemarin vaksin moderna gampang didapetin trus Alhamdulillah gak bikin tangan sakit
Positive,"vaksin booster moderna, cuma sakit di bekas suntikkan, sama ya itu ngantuk sama lapar."
Positive,"ibu ku pakai moderna aman sejauh ini, gak ada efek-efek yang ekstrim"
Positive,"baru aja kemarin vaksin pake moderna, aku kira bakal gila kipi nya, ternyata engga juga"
Positive,"efek moderna ringan kalo di aku, nggak ada yang aneh"
Positive,"terlanjur kepikiran yang nggak-nggak, ternyata gak ada kipi"
Positive,"aman, badan nggak rewel"
Positive,pokoknya habis vaksin langsung minum paracetamol
Positive,"buat tidur badan udah sehat, aku pakai moderna ya, jadi efeknya nggak berat dan nggak lama"
Positive,sekeluarga pake moderna alhamdulillah buat bulu tangkis masih kuat
Positive,"aku kira bakal berat, ternyata gini-gini aja"
Negative,"setelah baca"" pengalaman orang lain vaksin booster moderna ternyata efeknya sama. badan ngilu, sakit kepala, pusing, kedinginan. tapi jujur ini efek vaksin yg paling parah."
