Label,Text
Negative,"Wiw efek pfizer kok kek gini, jd takut mo vaksin ketiga"
Negative,"Waktu saya vaksin pfizer yg kedua.. efek vaksin nya lumayan parah, bikin muntah"" seharian.."
Negative,"vaksin booster kali ini bikin pingsan. vaksin pake setengah dosis pfizer. vaksin di jumat siang dan sampe sabtu malam, tangan pegel dan agak sakit dibagian suntikan. mual mual, muntah, pusing banget bikin pusing. entah karena efek ngopi jumat malam atau gak. tapi bikin sakit"
Negative,"Vaksin 1 Sinovac : Ngantukkk, Vaksin 2 Sinovac : engga ada efek apa - apa , Vaksin 3 Pfizer : lemes, badan kaya habis digebukin, sakit kepala, demam, dan dingiiinnn"
Negative,"tadi pagi vaksin booster pfizer, efek pertama pagi-siang ngantuk. dini hari ini badan terasa sakit. dan lokasi sekitar suntikan sakit, jadi gak bisa tidur miring kiri."
Negative,sumpah ya ini efek pfizer gak ilang - ilang di badan kalian yang mau booster tolong jaga kesehatan dan sarapan dulu kalau bisa jangan nekat langsung ke tempat vaksin.
Negative,Siapa yang tempo hari ngotot mau vaksin pfizer? Norwegia: 23 Orang Meninggal Diduga Karena Efek Samping Vaksin Pfizer
Negative,"Sebaiknya otoritas kita menyoroti kejadian di Norwegia. The Norwegian Medicines Agency melaporkan ada 29 orang menderita efek samping, 13 di antaranya berakibat fatal setelah disuntik vaksin Pfizer. Semua kematian adalah orang yang berusia di atas 80."
Negative,pfizer efek puyengnya lama yaa. perrasaan 2x sinovac ga berasa apa - apa.
Negative,Pfizer efek nya mantap sekali
Negative,perrusak akhir pekan ku :(
Negative,"padahal booster nya cuman setengah dosis pfizer, tp efek sampingnya bakal terasa 2x24 jam. kaya lagi flu rasanya, ga cuman pegel pegel, tp ada pusing dan lemes tanpa demam  hebat bgt yaa yg dosis 1-2 nya bukan sinovac :"""
Negative,"packing sambil meringis karena lengan gue sakit banget, apa efek pfizer begini"
Negative,"Okee kita bahas apa yg kerasa di hari ke 2 dan ke 3, efek #vaksin #pfizer dosis ke 2, buat urg sih tangan kiri makin sakit buat d gerakin kerasa ky ada ketarik gt d ketiak, insomnia parah, kmrn hari senin bangun jam 9 pagi dan skrng selasa jam 8 pagi sama sekali belum tidur"
Negative,nyeri lengan area yg disuntik vaksin masih berasa bgt ya alumni sinovac vaksin 1 2 macem gue lumayan kaget efek pfizer begini:)
Negative,nikmatnya efek booster pfizer
Negative,Ngeliat artikel sih katanya efek yg tdk umum bagi yg pake #vaksin #pfizer akan ada pembengkakan di kelenjar getah bening
Negative,Miokarditis mungkin ? Yg disebabkan dari efek samping vaksin Moderna & Pfizer
Negative,mantap bener ini efek pfizer.
Negative,"macam-macam efek pasca vaksin Pfizer: Leher kaku dan tak bisa digerakkan, Sulit bernafas, Rasa sakit yg menjalar di bahu dan tulang belakang, Mual, nafas terengah-engah saat tidur atau baring. Dua hari dirawat di rumah sakit belum begitu membaik. 
Ini bukan mau menakuti ya tapi fakta."
Negative,lemes nya bgt efek vaksin pfizer ini!! menggigil kaki dingin. badan hanget2 .. tau gt d tunda aja .
Negative,habis booster pfizer malah linu semua dan meriang. kemarin yg sinovac malah tidak ada efek sama sekali.
Negative,"Efek vaksin pfizer di tubuh gue astagfirullah sih, semoga dosis kedua nanti ga makin aneh2 yaaa.. ini dosis pertama aja udah cukup bikin mau nangis semaleman "
Negative,"efek vaksin covid-19 pfizer setengah dosis, 29 jam kemudian: mata ngantuk kayak habis disuntik obat tidur buat gajah."
Negative,"efek vaksin booster pfizer. aku vaksin sekitar jam setengah  9. seharian g kenapa2 masih cuma lengan agak pegel dan sakit malamnya kek kena badai ,badan panas iya, ditambah masuk angin sama badan menggigil dingin tp panas gitu  jam 3 pagi kebangun badan kek panas baru minum obat"
Negative,"efek vaksin booster pfizer : - sakit kepala - lapar banget bener2 beda laparnya ama biasanya, kaya klo udh laper ga bisa nahan banget… - sakit di lengan bekas suntik, bener2 seluruh lengan sakitnya bukan dibekas suntiknya aja - ngantukan sih "
Negative,"efek pfizer selain badan pegal - pegal, hangat, mengigil, agak halusinasi, tidur2 mimpi ayam . ternyata aku kebanyakan jadi mbah surip"
Negative,"efek pfizer nya marai pingin potong rambut, omaygat mumet"
Negative,efek pfizer i bengkak ya
Negative,efek booster pfizer. pegel linu lemes ngantuk
Negative,efek booster pfizer nya baru terasa sekarang
Negative,efek booster pfizer di aku 1. suhu badan agak naik + bikin kaki adem  2. perut sakit + diare 3. badan nyeri semua di hari ke dua
Negative,Asli pfizer efek nyeri nya dapettt bgtttt... kebangun badan saki semuaaa... Tangan kiri bahkan buat gerak sakit juga
Negative,abis suntik vaksin ketiga booster pfizer efek samping nya lama banget. badan panas sama pala pusing efeknya 4 hari belum sembuh2 juga.
Negative,2 hari demam pusing kepala keliyengan badan ngilu semua dan mual efek hbs pfizer trs cuma bsa baring aja diranjang ga mood makan jg baru kmrn badan enakan bsa jalan tapi tetep makan kek ga berselera
Negative,"abis vaksin booster pfizer, efek sampingnya lebih pegel dan jadi laper mulu  mau lari atau angkat beban enggak mungkin, karena disaranin ngga olahraga dulu"
Negative,efek vaksin booster pfizer badan meriang seharian
Negative,"ini pfizer sadis juga udah minum paracetamol semalem, tangan masih pegel bgt terus tidak tau efek vaksin apa aku aja yg salah, ga nafsu bgt makan"
Negative,"ya ampun efek vaksin pfizer emang ya lebih parah dari yg sebelumnya, tepar nya ngilu nya sakit nya pusing nya ada semua"
Negative,efek vaksin booster pfizer luar biasa lengan kirinya berasa
Negative,gila ini efek booster pfizer kenceng abis
Negative,efek booster pfizer gila gilaan bgt
Negative,"efek booster pfizer kyk terbang tinggi gitu ,ini campurannya apa"
Negative,pas sinovac: ga ada efek apa- apa pas booster pfizer: demam bikin lemes
Negative,vaksin pfizer. efek samping lengan nya kayak abis ditonjok
Negative,"efek booster 3 dapet pfizer, awake adem panas, flu, kepalanya serasa muter, kena air sakit ndak enak, mual ndak napsu mam. semoga besok udah enakan, yuk istirahat tapi tetep kawal bangun rumahnya"
Negative,alumni sinovac tidak percaya diri sama efek booster pfizer
Negative,booster gitu kamu dr pemerintah jepang atau di kedutaan besar republik indonesia?  ini pertama kali sih pfizer. efek pusingnya langsung berasa. sebelumnya aku sinovac ya biasa aja
Negative,"gini bgt efek booster pfizer badan meriang, tangan pegel ga lagi2 deh"
Negative,pfizer emg efek di tangan berasa bgt bgtt. apalagi malem nya. kaya bangun dr rebahan aja sakit
Negative,efek pfizer gila juga…
Negative,"buat baca -baca, pendapat pakar senior penyakit infeksi. info ttg efek samping pfizer dan moderna.  awalnya ngeri, miokarditis dan gangguan jantung lainnya. ujungnya, semuanya aman dan efektif.   aku ada gangguan jantung. vaksin pfizer udah"
Negative,efek pfizer lumayan lah bikin pusing
Negative,"kirain vaksin booster trus pfizer beneran tidak ada efek, eh dari tadi badan anget tangan pegel bgt"
Negative,efek pfizer ga main main
Negative,kalo pfizer efek sampingnya gak berat
Negative,"efek vaksin booster pfizer mulai terasa, tangan pegel linu, badan anget"
Negative,"vaksin 1 dan 2: sinovac (efek ngantuk dan cepet lapar)  vaksin boster : pfizer  jumat : lengan sakit, klimaksnya sabtu ga bisa tidur miring, minggu agak reda selama itu meriang sama sedikit masuk angin. senin demam tinggi 38,5°c, selasa demam 37,5°c+ pusing, rabu ada tambahan batuk"
Negative,"kejadian ikutan pasca imunisasi kak, efek samping abis vaksin. kemarin aku abis booster pfizer badan ga enak banget 2-3 harian padahal udah minum banyak dan langsung hajar paracetamol"
Negative,"pfizer jahat bgt hari pas suntik gak kenapa2 ngantuk doang, efek meriang, linu2 baru hari ini...."
Negative,aku vaksin 1 dan 2 gak ada efek juga sih. tpi hari jumat nanti booster pfizer gila aku
Negative,bonyok aku dpt pfizer booster. katanya pegel2 di tangan 2 hari sma lemes. kayanya kaya vaksin deh beda2 efek tiap orang
Negative,efek pfizer canggih juga
Negative,ini efek pfizer kerasa bgt
Negative,"efek booster nya baru kerasa, tanganku pegel banget, kesenggol dikit linu, badan demam, terima kasih pfizer :')"
Negative,"baru kemarin booster kak. dapet pfizer. ga ada efek aneh2 sih sampe sekarang, bekas suntikan ngilu sama asam lambung agak cepet naik aja."
Negative,efek pfizer booster mulai melanda
Negative,"efek booster pfizer, ditambah stres, bikin gagal diet terus."
Negative,"sinovac tidak ada efek, kalo pfizer kayak orang mau mati efeknya  demam, pegel linu sama pusing mual tapi cuma 1 hari sih"
Negative,"sebagai alumni sinovac, kayaknya gue nggak percaya diri dengan booster dari kantor pake moderna sama pfizer dengan efek samping yg lumayan bikin syok karena sinovac gak ada efek samping sama sekali sewaktu itu gue vaksin"
Negative,"gak lama sama jarak vaksin, langsung tumbang"
Negative,rasa nya kayak mau simulasi meninggal
Negative,"efek nya gila bener ini, aku sampek gak kuat jalan… duduk aja nggak bisa"
Negative,"lemes ya kawan, lemes nya bukan main, aku pakai pfizer ya"
Negative,"pfizer emang gini ya? Aku mual, mering, panas, menggigil jadi satu"
Negative,ini efek nya udah 5 hari tetep aja ada
Negative,gara-gara pfizer aku ijin nggak masuk kantor 3 hari
Negative,"ini y efek nya? Ternyata memang benar, sangat membuat ingin taubat"
Negative,cukup sekali ini aja :) aku udah gak kuat sama efek nya
Negative,"seharian tidur, karena badan sakit semua… apalagi tangan gak bisa di gerakin, parah"
Positive,"W udah 2x vaksin pfizer sama istri, gak ada efek samping nya…"
Positive,vaksin dosis 1-2 kemarin pakenya sinovac dan gak ada efek apa2 soalnya... tp kalo lihat efektivitasnya booster pfizer kan lebih efektif ya
